,Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month,License Type,Installation Date,County
0,518893,1.62,0,0.0,432.7,92.825,31,31,100.0,1401/01,سایر,1400/08/26,مشهد
1,805027,0.2,0,0.0,608.5,438.0,31,31,100.0,1401/01,کشاورزی,1400/08/29,نیشابور
2,805641,,0,0.0,0.0,0.0,31,31,100.0,1401/01,خدمات,1403/01/26,نیشابور
3,107165,5.4,0,0.0,741.3,14410.18,31,31,100.0,1401/01,کشاورزی,1400/06/20,سبزوار
4,805327,2.02,0,0.0,120.1,78.258,31,31,100.0,1401/01,کشاورزی,1400/07/20,نیشابور
5,515877,,0,0.0,0.0,0.1,31,31,100.0,1401/01,شرب و بهداشت دام,1400/08/04,مشهد
6,518716,,0,0.0,0.0,0.0,31,31,100.0,1401/01,شرب و بهداشت دام,1400/04/21,مشهد
7,603015,29.44,0,0.0,479.0,50717.49,31,31,100.0,1401/01,کشاورزی,1400/09/08,تربت حیدریه
8,555555,,0,0.0,0.0,0.0,9,31,29.03,1401/01,,,
9,804926,,0,0.0,0.0,0.0,31,31,100.0,1401/01,,,
10,529079,20.18,0,0.0,729.4,54020.88,31,31,100.0,1401/01,کشاورزی,1400/10/04,مشهد
11,122041,,0,0.0,0.0,76.3,31,31,100.0,1401/01,کشاورزی,1399/11/23,نیشابور
12,601523,,0,0.0,0.5,4.049,31,31,100.0,1401/01,صنعتی,1400/03/11,تربت حیدریه
13,514900,34.5,0,0.0,566.5,71471.18,31,31,100.0,1401/01,کشاورزی,1401/01/06,مشهد
14,806526,,0,0.0,522.8,0.0,31,31,100.0,1401/01,,,
15,603085,,0,0.0,0.0,0.0,21,31,67.74,1401/01,کشاورزی,1401/02/02,تربت حیدریه
16,603280,,0,0.0,0.0,0.0,5,31,16.13,1401/01,کشاورزی,1401/02/02,تربت حیدریه
17,517826,,0,0.0,0.0,117323.92,31,31,100.0,1401/01,کشاورزی,1399/10/08,مشهد
18,514339,,0,0.0,0.0,0.0,12,31,38.71,1401/01,کشاورزی,1401/08/19,مشهد
19,622492,,0,0.0,0.0,0.0,31,31,100.0,1401/01,کشاورزی,1401/02/26,کاشمر
20,911318,,0,0.0,0.0,1.661,31,31,100.0,1401/01,خدمات,1401/01/26,تربت جام
21,514640,14.23,0,0.0,38.4,1991.7,31,31,100.0,1401/01,کشاورزی,1401/01/28,مشهد
22,518680,4.68,0,0.0,592.5,68.197,31,31,100.0,1401/01,صنعتی,1399/12/26,مشهد
23,102539,,0,0.0,0.0,0.0,15,31,48.39,1401/01,کشاورزی,1401/02/18,سبزوار
24,618327,,0,0.0,0.0,0.0,15,31,48.39,1401/01,شرب و بهداشت دام,1401/02/25,کاشمر
25,529259,,0,0.0,0.0,0.0,12,31,38.71,1401/01,کشاورزی,1401/08/23,مشهد
26,805803,1.23,0,0.0,709.0,94.433,31,31,100.0,1401/01,کشاورزی,1400/03/03,نیشابور
27,514348,6.88,0,0.0,299.6,684.569,31,31,100.0,1401/01,کشاورزی,1401/03/28,مشهد
28,601559,1.67,0,0.0,13.1,40.602,31,31,100.0,1401/01,صنعتی,1400/03/08,تربت حیدریه
29,515682,,0,0.0,0.0,0.0,8,31,25.81,1401/01,صنعتی,1400/09/07,مشهد
30,911654,,0,0.0,0.0,0.0,31,31,100.0,1401/01,صنعتی,1402/01/27,تربت جام
31,514312,11.88,0,0.0,458.3,18863.68,31,31,100.0,1401/01,کشاورزی,1401/01/09,مشهد
